delay_code,long_text,short_text
OH,a problem with signalling equipment,signalling equipment problem
OI,a problem under investigation,problem under investigation
OJ,a fire,fire
OK,an error having been made,error having been made
OL,the signalbox not being open,signalbox not open
OM,a problem with a railhead treatment train,train fault
ON,a problem under investigation,problem under investigation
OP,the failure of train monitoring systems,train fault
OQ,an error having been made,error having been made
OS,a problem with a railhead treatment train,train fault
OT,operational safety requirements,safety requirements
OU,a delay not investigated,delay not investigated
OV,a fire evacuation,fire evacuation
OW,a connection being held,connection being held
OZ,a problem under investigation,problem under investigation
PA,temporary speed restrictions,temporary speed restriction
PB,temporary speed restrictions,temporary speed restriction
PD,the planned cancellation (was not planned to operate),planned cancellation
PE,planned engineering work,planned engineering work
PF,planned engineering work,planned engineering work
PG,a planned cancellation by the train operator,planned cancellation
PJ,a duplicate,duplicate
PL,an excluded reason,excluded reason
PN,the train being a very short term planned (VSTP) service,planning error
PS,being a duplicate/erroneous schedule,planning error
PT,a problem with train monitoring systems,problem with train
PZ,contractual exclusions,contractual exclusions
QA,a problem with the schedule,schedule problem
QB,planned engineering work,planned engineering work
QH,leaves on the line,leaves on line
QI,leaves on the line,leaves on line
QJ,leaves on the line,leaves on line
QL,the proceeding service being delayed owing to temporary speed restrictions,temporary speed restrictions
QM,a problem with the schedule,schedule problem
QN,a problem with the schedule,schedule problem
QP,engineering work,engineering work
QQ,a problem with the schedule,schedule problem
QT,an unknown cause,unknown cause
QZ,an unknown cause,unknown cause
R1,an error having been made,error having been made
R2,an error having been made,error having been made
R3,a lack of available station staff,lack of station staff
R4,a lack of available station staff,lack of station staff
R5,an error having been made,error having been made
R6,a lack of available station staff,lack of station staff
R7,an unusually large passenger flow due to a special event,large passenger flow
RB,an unexpected number of passengers joining/alighting the service,unexpected passenger load
RA,an issue with the station,station issue
RB,an issue with passengers boarding or alighting the service,passenger issue
RC,passenger assistance being provided,passenger assistance
RD,the train being serviced,train being serviced
RE,the failure of station equipment,station equipment failure
RF,letters and parcels being (un)loaded from the service,train being unloaded
RH,a fire alert causing an evacuation,fire evacuation
RI,awaiting a connecting service,awaiting connecting service
RJ,a special stop order,special stop order
RK,awaiting a connecting service,awaiting connecting service
RL,a special stop order,special stop order
RM,awaiting connections,awaiting connections
RN,awaiting connections,awaiting connections
RO,a passenger having been taken ill,ill passenger
RP,an item having been dropped on the track,item dropped on track
RQ,passenger assistance being provided,passenger assistance
RR,loading bicycles,loading bicycles
RS,loading bicycles,loading bicycles
RT,loading luggage,loading luggage
RU,locating luggage,locating luggage
RV,a problem with station equipment,station equipment problem
RW,station flooding,station flooding
RY,a mishap,mishap
RZ,an unknown cause at the station,unknown station cause
T1,being delayed at an unstaffed station,delayed at unstaffed station
T2,being delayed at an unstaffed station,delayed at unstaffed station
T3,awaiting connections,awaiting connections
T4,servicing the train,servicing the train
T8,an unknown problem,unknown problem
TA,an issue with the operational plan,planning issue
TB,the train operator's request,train operator's request
TC,resourcing issues,resourcing issues
TF,an issue with seat reservations,seat reservation problem
TG,an issue with the train crew,issue with train crew
TH,an issue with the train crew,issue with train crew
TI,a train crew rostering problem,train crew issue
TJ,a problem with the train,train problem
TK,an issue with the train crew,issue with train crew
TL,a problem with the train,train problem
TM,awaiting connections,awaiting connections
TN,a late arrival of the service from Europe,late arrival of service from Europe
TO,an unknown problem,
TP,additional stops being added to the service,additional stops
TR,a decision by the train operating company,train company decision
TS,a signalling problem with the ETCS/ERTMS equipment,train equipment problem
TT,it being Autumn,Autumn
TU,a problem under investigation,problem under investigation
TW,the driver adhering to company policy,company driving policy
TX,a delay caused on a non-Network Rail line,delay caused on non-Network Rail line
TY,a mishap,mishap
TZ,an unknown reason,unknown cause
V8,the train striking a bird,the train striking a bird
VA,disorder,disorder
VB,vandalism,vandalism
VC,a person hit by a train,person hit by a train
VD,a passenger being taken ill,ill passenger
VE,passengers not having valid tickets,passengers without valid tickets
VF,a fire caused by vandalism,fire caused by vandalism
VG,the request of police,request of police
VH,the emergency alarm having been called,emergency alarm
VI,a security alert,security alert
VR,the driver adhering to company policy,company driving policy
VW,severe weather conditions,adverse weather
VX,a delay caused on a non-Network Rail line,delay caused on non-Network Rail line
VZ,an unknown cause (train operator related),unknown cause
X1,adverse weather conditions,adverse weather conditions
X2,severe flooding,severe flooding
X3,a lightning strike causing damage,lightning strike
X4,temporary speed restrictions caused by severe weather,temporary speed restrictions
X8,animals on the line,animals on line
X9,points failure as a result of severe snow,points failure - snow
XA,trespass,trespass
XB,vandalism,vandalism
XC,a person hit by a train,person hit by a train
XD,an incident at a level crossing,incident at a level crossing
XE,a fleet safety issue,fleet safety
XF,a request by the police,request by the police
XH,heat,heat
XI,a security alert,security alert
XK,a power supply failure,power supply failure
XL,a fire away from the railway,fire away from the railway
XM,a problem with utility supplies,problem with utility supplies
XN,a problem on a road,problem on a road
XO,an obstruction on the line,obstruction on the line
XP,a bridge strike,bridge strike
XQ,a bridge being open for river traffic,bridge being open for river traffic
XR,cable theft,cable theft
XS,level crossing misuse,level crossing misuse
XT,adverse winter weather conditions,adverse weather conditions
XU,a signal sighting problem caused by the sun,adverse weather conditions
XV,an evacuation caused by a fire alert,fire evacuation
XW,high winds,high winds
XZ,an unknown problem,
YA,late running to allow a another train to run on time,late running
YB,late running to allow for another late running train,late running
YC,late running owing to following a preceding service,late running
YD,late running owing to following a late running preceding service,late running
YE,late running owing to waiting for access to a single line,late running
YF,waiting for a late running train on a single line,late running
YG,late running,late running
YH,late arrival of an inbound service,inbound service late
YI,late arrival of an inbound service,inbound service late
YJ,late arrival of crew from an inbound service,inbound service late
YK,awaiting stock,awaiting stock
YL,awaiting passenger connections,awaiting connections
YM,additional stops,additional stops
YN,non-availability of train crew,unavailable train crew
YO,awaiting a platform,awaiting platform
YP,delays caused by a diverted train,diverted train
YQ,overcrowding due to the train being shorter than planned,overcrowding
YR,a tactical cancellation to recover the service,service recovery
YT,late running of another service,late running
YU,the train being swapped,train swap
YV,the train being held for a line blocking incident,train held
YX,overcrowding,overcrowding
